strain_name,n_samples,total_thc,total_cbd,dominant
Trop x SL #2,11,24.3306,0.0608,d_limonene
Trop x SL #10,11,23.4733,0.0628,beta_myrcene
Trop x SL #1,11,22.889,0.0624,beta_caryophyllene
Caribbean Cookies,11,24.47,0.06,beta_caryophyllene
Tangie,11,27.6316,0.0748,beta_caryophyllene
TUSCAN GELATO,11,24.8645,0.0701,beta_myrcene
TMC x J1 #99,11,24.9837,0.064,terpinolene
TMC x J1 #98,11,26.3262,0.0542,terpinolene
TMC x J1 #96,11,28.7805,0.094,beta_caryophyllene
TMC x J1 #95,11,17.8238,0.0443,terpinolene
TMC x J1 #94,11,29.5295,0.0765,beta_caryophyllene
TMC x J1 #92,11,29.1278,0.0781,d_limonene
TMC x J1 #91,11,25.9271,0.0747,terpinolene
TMC x J1 #90,11,24.4377,0.0531,terpinolene
TMC x J1 #88,11,20.5286,0.0359,terpinolene
TMC x J1 #87,11,22.5246,0.0481,terpinolene
TMC x J1 #86,11,27.8049,0.0848,beta_myrcene
Cultivation Z-Pie,11,29.4387,0.1247,d_limonene
Cheetah Piss,11,20.29095,0.04679,beta_caryophyllene
FTP,11,28.5053,0.0757,d_limonene
CANNA CRUZ KUSH,11,28.4382,0.0824,beta_myrcene
Dutch Treat,11,24.8224,0.1041,terpinolene
Black Runtz,11,23.6072,0.0617,d_limonene
BLUEBERRY YUM YUM,11,21.8917,0.0667,d_limonene
Jetlato Crashers,11,25.90635,0.07203,d_limonene
Headband,11,33.2635,0.098,beta_caryophyllene
Governmint Oasis,11,31.35085,0.0987,d_limonene
Banana Cream Cake & Jealousy Bud,11,28.6946,0.11,d_limonene
GHOST VAPOR OG,11,22.873,0.0854,beta_myrcene
Guava,11,22.923,0.0674,beta_caryophyllene
Gush Mints,11,32.0432,0.1437,d_limonene
LA Runtz,10,35.9957,0.1082,beta_caryophyllene
Lantz,10,24.7888,0.0935,d_limonene
STAR-Berry Cough,10,26.566499999999998,0.06278500000000001,d_limonene
Cereal Milk,10,31.4804,0.0863,beta_caryophyllene
Larry Bird,10,25.504775000000002,0.05377,d_limonene
Banana Cream,10,29.33865,0.0834,d_limonene
Caffeine,10,29.68545,0.053,d_limonene
Gelatti,10,25.0849,0.0563,beta_caryophyllene
Marathon,10,28.6108,0.08460000000000001,d_limonene
Purple Push Pop,10,25.583,0.08355,d_limonene
