strain_name,n_samples,pc1,pc2,dominant
TMC x J1 #79,11,-0.06522342706919716,-0.07650843992672123,beta_caryophyllene
TMC x J1 #128,11,0.008157652630181604,0.15842575220751315,beta_myrcene
TMC x J1 #82,11,0.015676139250118595,0.04171518729545673,d_limonene
TMC x J1 #83,11,0.22472415440629834,-0.1336546240219039,terpinolene
TMC x J1 #113,11,-0.08089591451916181,-0.05668018737976877,beta_caryophyllene
TMC x J1 #86,11,0.1064385713644353,0.1818748858629137,beta_myrcene
TMC x J1 #119,11,0.3526627845208415,-0.17814321691275914,terpinolene
TMC x J1 #87,11,0.2403933596372901,-0.16954927477113052,terpinolene
TMC x J1 #88,11,0.4092439434952966,-0.25032667301674044,terpinolene
TMC x J1 #123,11,-0.04482415672604105,-0.045180793297646314,beta_caryophyllene
TMC x J1 #124,11,0.32551847625252445,-0.18403923038502448,terpinolene
TMC x J1 #95,11,0.2860386218250413,-0.14084722932937524,terpinolene
TMC x J1 #90,11,0.46294641705309164,-0.19691011815249684,terpinolene
TMC x J1 #91,11,0.37567267525674863,-0.20224913078480422,terpinolene
Banana Cream Cake & Jealousy Bud,11,-0.11557417836019436,-0.04520442348251737,d_limonene
Black Runtz,11,-0.015419750316480045,0.11554316485079857,d_limonene
Trop x SL #9,11,-0.01021263537204349,0.023713116395010957,d_limonene
Trop x SL #7,11,-0.04489570772986464,-0.02490433807008504,beta_caryophyllene
Trop x SL #6,11,-0.07856003138978057,-0.014219029278915104,d_limonene
Trop x SL #4,11,0.19449859747371623,0.3022151819210232,beta_myrcene
Trop x SL #2,11,-0.010168806028363623,0.010108682884480307,d_limonene
Trop x SL #10,11,0.13885443716231782,0.21099509754034831,beta_myrcene
Trop x SL #1,11,-0.014546818761473517,0.02677668455440315,beta_caryophyllene
Tangie,11,0.0842172958943568,0.011851904587904213,beta_caryophyllene
TUSCAN GELATO,11,0.22764235708603664,0.35856883619761487,beta_myrcene
TMC x J1 #99,11,0.2920576179368169,-0.17135051241096944,terpinolene
TMC x J1 #98,11,0.3315619062789883,-0.187625944525346,terpinolene
TMC x J1 #96,11,-0.0743863101578341,-0.14344620984746626,beta_caryophyllene
TMC x J1 #110,11,0.33100845892644165,-0.19522289360430903,terpinolene
TMC x J1 #94,11,-0.014979106728932306,-0.030477717059876872,beta_caryophyllene
TMC x J1 #92,11,-0.05773290407221559,0.002867130893205611,d_limonene
TMC x J1 #111,11,0.29384941446407997,-0.18064515652302904,terpinolene
CANNA CRUZ KUSH,11,0.015982461649428816,0.15274256898011965,beta_myrcene
TMC x J1 #109,11,0.30624758206745356,-0.20104864007569234,terpinolene
